doc_id,level1,level2,level3,level4,api_name,url,doc_path,hierarchy_path
226,宏观经济,国内宏观,价格指数,,,https://tushare.pro/document/2?doc_id=226,F:\projects\my-stock\tushare_docs\document\2\doc_id-226.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\价格指数.md
228,宏观经济,国内宏观,价格指数,居民消费价格指数（CPI）,cn_cpi,https://tushare.pro/document/2?doc_id=228,F:\projects\my-stock\tushare_docs\document\2\doc_id-228.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\价格指数\居民消费价格指数_CPI.md
245,宏观经济,国内宏观,价格指数,工业生产者出厂价格指数（PPI）,cn_ppi,https://tushare.pro/document/2?doc_id=245,F:\projects\my-stock\tushare_docs\document\2\doc_id-245.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\价格指数\工业生产者出厂价格指数_PPI.md
148,宏观经济,国内宏观,利率数据,,,https://tushare.pro/document/2?doc_id=148,F:\projects\my-stock\tushare_docs\document\2\doc_id-148.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\利率数据.md
153,宏观经济,国内宏观,利率数据,Hibor利率,hibor,https://tushare.pro/document/2?doc_id=153,F:\projects\my-stock\tushare_docs\document\2\doc_id-153.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\利率数据\Hibor利率.md
151,宏观经济,国内宏观,利率数据,LPR贷款基础利率,shibor_lpr,https://tushare.pro/document/2?doc_id=151,F:\projects\my-stock\tushare_docs\document\2\doc_id-151.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\利率数据\LPR贷款基础利率.md
152,宏观经济,国内宏观,利率数据,Libor利率,libor,https://tushare.pro/document/2?doc_id=152,F:\projects\my-stock\tushare_docs\document\2\doc_id-152.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\利率数据\Libor利率.md
149,宏观经济,国内宏观,利率数据,Shibor利率,shibor,https://tushare.pro/document/2?doc_id=149,F:\projects\my-stock\tushare_docs\document\2\doc_id-149.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\利率数据\Shibor利率.md
150,宏观经济,国内宏观,利率数据,Shibor报价数据,shibor_quote,https://tushare.pro/document/2?doc_id=150,F:\projects\my-stock\tushare_docs\document\2\doc_id-150.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\利率数据\Shibor报价数据.md
174,宏观经济,国内宏观,利率数据,广州民间借贷利率,gz_index,https://tushare.pro/document/2?doc_id=174,F:\projects\my-stock\tushare_docs\document\2\doc_id-174.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\利率数据\广州民间借贷利率.md
173,宏观经济,国内宏观,利率数据,温州民间借贷利率,wz_index,https://tushare.pro/document/2?doc_id=173,F:\projects\my-stock\tushare_docs\document\2\doc_id-173.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\利率数据\温州民间借贷利率.md
225,宏观经济,国内宏观,国民经济,,,https://tushare.pro/document/2?doc_id=225,F:\projects\my-stock\tushare_docs\document\2\doc_id-225.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\国民经济.md
227,宏观经济,国内宏观,国民经济,国内生产总值（GDP）,cn_gdp,https://tushare.pro/document/2?doc_id=227,F:\projects\my-stock\tushare_docs\document\2\doc_id-227.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\国民经济\国内生产总值_GDP.md
324,宏观经济,国内宏观,景气度,,,https://tushare.pro/document/2?doc_id=324,F:\projects\my-stock\tushare_docs\document\2\doc_id-324.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\景气度.md
325,宏观经济,国内宏观,景气度,采购经理指数（PMI）,cn_pmi,https://tushare.pro/document/2?doc_id=325,F:\projects\my-stock\tushare_docs\document\2\doc_id-325.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\景气度\采购经理指数_PMI.md
240,宏观经济,国内宏观,金融,,,https://tushare.pro/document/2?doc_id=240,F:\projects\my-stock\tushare_docs\document\2\doc_id-240.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\金融.md
309,宏观经济,国内宏观,金融,社会融资,,https://tushare.pro/document/2?doc_id=309,F:\projects\my-stock\tushare_docs\document\2\doc_id-309.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\金融\社会融资.md
310,宏观经济,国内宏观,金融,社会融资,sf_month,https://tushare.pro/document/2?doc_id=310,F:\projects\my-stock\tushare_docs\document\2\doc_id-310.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\金融\社会融资\社融增量_月度.md
241,宏观经济,国内宏观,金融,货币供应量,,https://tushare.pro/document/2?doc_id=241,F:\projects\my-stock\tushare_docs\document\2\doc_id-241.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\金融\货币供应量.md
242,宏观经济,国内宏观,金融,货币供应量,cn_m,https://tushare.pro/document/2?doc_id=242,F:\projects\my-stock\tushare_docs\document\2\doc_id-242.md,F:\projects\my-stock\tushare_docs\宏观经济\国内宏观\金融\货币供应量\货币供应量_月.md
218,宏观经济,国际宏观,美国利率,,,https://tushare.pro/document/2?doc_id=218,F:\projects\my-stock\tushare_docs\document\2\doc_id-218.md,F:\projects\my-stock\tushare_docs\宏观经济\国际宏观\美国利率.md
220,宏观经济,国际宏观,美国利率,国债实际收益率曲线利率,us_trycr,https://tushare.pro/document/2?doc_id=220,F:\projects\my-stock\tushare_docs\document\2\doc_id-220.md,F:\projects\my-stock\tushare_docs\宏观经济\国际宏观\美国利率\国债实际收益率曲线利率.md
219,宏观经济,国际宏观,美国利率,国债收益率曲线利率,us_tycr,https://tushare.pro/document/2?doc_id=219,F:\projects\my-stock\tushare_docs\document\2\doc_id-219.md,F:\projects\my-stock\tushare_docs\宏观经济\国际宏观\美国利率\国债收益率曲线利率.md
222,宏观经济,国际宏观,美国利率,国债长期利率,us_tltr,https://tushare.pro/document/2?doc_id=222,F:\projects\my-stock\tushare_docs\document\2\doc_id-222.md,F:\projects\my-stock\tushare_docs\宏观经济\国际宏观\美国利率\国债长期利率.md
223,宏观经济,国际宏观,美国利率,国债长期利率平均值,us_trltr,https://tushare.pro/document/2?doc_id=223,F:\projects\my-stock\tushare_docs\document\2\doc_id-223.md,F:\projects\my-stock\tushare_docs\宏观经济\国际宏观\美国利率\国债长期利率平均值.md
221,宏观经济,国际宏观,美国利率,短期国债利率,us_tbr,https://tushare.pro/document/2?doc_id=221,F:\projects\my-stock\tushare_docs\document\2\doc_id-221.md,F:\projects\my-stock\tushare_docs\宏观经济\国际宏观\美国利率\短期国债利率.md
334,股票数据,两融及转融通,做市借券交易汇总(停）,,slb_len_mm,https://tushare.pro/document/2?doc_id=334,F:\projects\my-stock\tushare_docs\document\2\doc_id-334.md,F:\projects\my-stock\tushare_docs\股票数据\两融及转融通\做市借券交易汇总_停.md
59,股票数据,两融及转融通,融资融券交易明细,,margin_detail,https://tushare.pro/document/2?doc_id=59,F:\projects\my-stock\tushare_docs\document\2\doc_id-59.md,F:\projects\my-stock\tushare_docs\股票数据\两融及转融通\融资融券交易明细.md
58,股票数据,两融及转融通,融资融券交易汇总,,margin,https://tushare.pro/document/2?doc_id=58,F:\projects\my-stock\tushare_docs\document\2\doc_id-58.md,F:\projects\my-stock\tushare_docs\股票数据\两融及转融通\融资融券交易汇总.md
326,股票数据,两融及转融通,融资融券标的（盘前）,,margin_secs,https://tushare.pro/document/2?doc_id=326,F:\projects\my-stock\tushare_docs\document\2\doc_id-326.md,F:\projects\my-stock\tushare_docs\股票数据\两融及转融通\融资融券标的_盘前.md
333,股票数据,两融及转融通,转融券交易明细(停）,,slb_sec_detail,https://tushare.pro/document/2?doc_id=333,F:\projects\my-stock\tushare_docs\document\2\doc_id-333.md,F:\projects\my-stock\tushare_docs\股票数据\两融及转融通\转融券交易明细_停.md
332,股票数据,两融及转融通,转融券交易汇总(停）,,slb_sec,https://tushare.pro/document/2?doc_id=332,F:\projects\my-stock\tushare_docs\document\2\doc_id-332.md,F:\projects\my-stock\tushare_docs\股票数据\两融及转融通\转融券交易汇总_停.md
331,股票数据,两融及转融通,转融资交易汇总,,slb_len,https://tushare.pro/document/2?doc_id=331,F:\projects\my-stock\tushare_docs\document\2\doc_id-331.md,F:\projects\my-stock\tushare_docs\股票数据\两融及转融通\转融资交易汇总.md
